"Interval start","Tutti i pacchetti","Errori TCP"
0,9,0
1,0,0
2,2,0
3,0,0
4,1,0
5,5,0
6,1,0
7,3,0
8,49,0
9,2,0
10,6,0
11,0,0
12,0,0
13,36,13
14,16,0
15,12,0
16,10,0
17,13,0
18,26,0
19,20,2
20,11,0
21,3,0
22,6,0
23,5,0
24,3,0
25,14,0
26,1,0
27,5,0
28,6,0
29,2,2
30,2,0
31,1,0
32,2,0
33,4,0
34,0,0
35,9,0
36,4,0
37,3,0
38,30,0
39,6,1
40,7,1
41,1,0
42,414,0
43,367,2
44,1,0
45,5,2
46,15,0
47,4,0
48,4,0
49,3,0
50,5,2
51,2,0
52,3,0
53,3,0
54,5,0
55,6,0
56,4,0
57,1,0
58,0,0
59,23,0
60,7,2
61,4,0
62,5,0
63,5,0
64,3,0
65,3,0
66,0,0
67,1,0
68,1,0
69,1,0
70,4,2
71,1,0
72,0,0
73,1,0
74,1,0
75,33,1
76,1,0
77,3,0
78,5,0
79,14,0
80,7,5
81,13,1
82,10,0
83,1,0
84,0,0
85,17,0
86,1,0
87,2,0
88,1,0
89,7,0
90,6,4
91,3,0
92,1,0
93,1,0
94,0,0
95,11,1
96,27,0
97,10,0
98,2,0
99,1,0
100,2,0
101,6,0
102,16,0
103,1,0
104,1,0
105,3,0
